date,World
31/12/2019,27
1/1/2020,27
2/1/2020,27
3/1/2020,44
4/1/2020,44
5/1/2020,59
6/1/2020,59
7/1/2020,59
8/1/2020,59
9/1/2020,59
10/1/2020,59
11/1/2020,59
12/1/2020,59
13/1/2020,60
14/1/2020,60
15/1/2020,61
16/1/2020,61
17/1/2020,66
18/1/2020,83
19/1/2020,219
20/1/2020,239
21/1/2020,392
22/1/2020,534
23/1/2020,631
24/1/2020,897
25/1/2020,1350
26/1/2020,2023
27/1/2020,2820
28/1/2020,4587
29/1/2020,6067
30/1/2020,7823
31/1/2020,9826
1/2/2020,11946
2/2/2020,14554
3/2/2020,17372
4/2/2020,20615
5/2/2020,24522
6/2/2020,28273
7/2/2020,31491
8/2/2020,34933
9/2/2020,37552
10/2/2020,40540
11/2/2020,43105
12/2/2020,45177
13/2/2020,60328
14/2/2020,64543
15/2/2020,67103
16/2/2020,69265
17/2/2020,71332
18/2/2020,73327
19/2/2020,75191
20/2/2020,75723
21/2/2020,76719
22/2/2020,77804
23/2/2020,78812
24/2/2020,79339
25/2/2020,80132
26/2/2020,80997
27/2/2020,82106
28/2/2020,83375
29/2/2020,85223
1/3/2020,87042
2/3/2020,89121
3/3/2020,90943
4/3/2020,93193
5/3/2020,95464
6/3/2020,98442
7/3/2020,102524
8/3/2020,106488
9/3/2020,110633
10/3/2020,115331
11/3/2020,120250
12/3/2020,127785
13/3/2020,136806
14/3/2020,146675
15/3/2020,158808
16/3/2020,171165
17/3/2020,184905
18/3/2020,201363
19/3/2020,221172
20/3/2020,251542
21/3/2020,282895
22/3/2020,316942
23/3/2020,350942
24/3/2020,393837
25/3/2020,434723
26/3/2020,486947
27/3/2020,547297
28/3/2020,611632
29/3/2020,674897
30/3/2020,732707
31/3/2020,796268
1/4/2020,868867
2/4/2020,945624
3/4/2020,1022366
4/4/2020,1103314
5/4/2020,1188306
6/4/2020,1257241
7/4/2020,1329576
8/4/2020,1404566
9/4/2020,1489045
10/4/2020,1574850
11/4/2020,1664170
12/4/2020,1744940
13/4/2020,1816194
14/4/2020,1882211
15/4/2020,1958813
16/4/2020,2038561
17/4/2020,2121523
18/4/2020,2203417
19/4/2020,2283158
20/4/2020,2355301
21/4/2020,2431261
22/4/2020,2516991
23/4/2020,2583279
24/4/2020,2660713
25/4/2020,2734478
26/4/2020,2835026
27/4/2020,2918082
28/4/2020,2983864
29/4/2020,3055429
30/4/2020,3133235
1/5/2020,3217821
2/5/2020,3309563
3/5/2020,3390732
4/5/2020,3469241
5/5/2020,3546401
6/5/2020,3625588
7/5/2020,3715414
8/5/2020,3809599
9/5/2020,3899738
10/5/2020,3989894
11/5/2020,4066883
12/5/2020,4137915
13/5/2020,4223701
14/5/2020,4309652
15/5/2020,4406317
16/5/2020,4504351
17/5/2020,4598546
18/5/2020,4679764
19/5/2020,4766899
20/5/2020,4861456
